plot_id,tree_id,XTOP,YTOP,ZTOP,set_id
365,102,477705.03,5346384.36,14.86,LMF_002
365,103,477711.12,5346379.46,17.35,LMF_002
365,104,477710.05,5346382.83,18.47,LMF_002
365,110,477708.36,5346381.68,21.19,LMF_002
365,111,477709.41,5346383.57,22.15,LMF_002
365,112,477714.12,5346381.62,21.64,LMF_002
365,113,477715.82,5346381.78,22.96,LMF_002
365,116,477716.63,5346385.37,22.86,LMF_002
365,133,477715.81,5346388.4,20.96,LMF_002
424,4,425121.14,5316619.22,7.4,LMF_002
424,13,425122.72,5316628.68,6.88,LMF_002
424,14,425123.61,5316631.02,7.63,LMF_002
424,15,425123.59,5316631.85,7.57,LMF_002
424,21,425129.31,5316616.51,11.36,LMF_002
424,25,425125.91,5316620.73,9.79,LMF_002
424,26,425125.07,5316618.48,10.14,LMF_002
424,28,425126.39,5316627.89,9.27,LMF_002
424,29,425130.73,5316627.63,8.29,LMF_002
424,30,425133.33,5316628.28,8.42,LMF_002
424,34,425136.04,5316625.02,8.48,LMF_002
424,35,425136.58,5316625.65,8.41,LMF_002
424,36,425135.73,5316628.32,7.79,LMF_002
424,40,425141.25,5316626.48,7.6,LMF_002
424,46,425125.62,5316630.55,8.35,LMF_002
424,47,425126.66,5316629.4,9.03,LMF_002
424,48,425128.46,5316631.18,8.56,LMF_002
424,49,425130.53,5316630.7,9.27,LMF_002
424,50,425124.59,5316637.83,8.26,LMF_002
424,51,425132.57,5316634.11,8.1,LMF_002
424,52,425133.54,5316634.36,9,LMF_002
424,53,425130.42,5316637.55,7.38,LMF_002
424,54,425143.53,5316628.76,8.62,LMF_002
424,56,425134.06,5316636.81,8.59,LMF_002
424,57,425134.75,5316638.18,8.16,LMF_002
424,58,425137.15,5316637.22,7.51,LMF_002
424,59,425138.33,5316637.76,7.52,LMF_002
424,60,425142.61,5316634.58,7.45,LMF_002
424,62,425135,5316635.8,10.07,LMF_002
424,63,425136.07,5316634.53,12.51,LMF_002
424,67,425125.83,5316640.28,8.29,LMF_002
424,69,425129.5,5316640.28,5.77,LMF_002
424,71,425133.01,5316640.7,10.06,LMF_002
424,72,425135.33,5316639.14,6.96,LMF_002
424,87,425119.97,5316630.21,7.32,LMF_002
424,96,425122.6,5316636.41,8.57,LMF_002
424,102,425126.47,5316621.27,9.94,LMF_002
424,103,425129,5316622.64,6.23,LMF_002
